date,20316875,20191440,20191442,20363824,20376057,20386898,20379358,103048,20160300
2015-09-16,,3.0,,,1.0,3.0,4.0,13.0,3.0
2015-09-17,1.0,1.0,,,,1.0,,8.0,1.0
2015-09-18,2.0,,,2.0,2.0,3.0,1.0,24.0,3.0
2015-09-19,3.0,3.0,,5.0,2.0,3.0,1.0,20.0,5.0
2015-09-20,,2.0,,1.0,,1.0,1.0,9.0,1.0
2015-09-21,,,,,2.0,2.0,,8.0,
2015-09-22,1.0,,,1.0,2.0,,1.0,13.0,
2015-09-23,2.0,1.0,3.0,2.0,,3.0,3.0,6.0,4.0
2015-09-24,,1.0,,3.0,2.0,1.0,1.0,10.0,5.0
2015-09-25,2.0,1.0,2.0,3.0,3.0,2.0,2.0,15.0,7.0
2015-09-26,4.0,4.0,1.0,4.0,5.0,7.0,2.0,20.0,3.0
2015-09-27,,,,,3.0,2.0,4.0,17.0,3.0
2015-09-28,,,,,1.0,2.0,2.0,8.0,1.0
2015-09-29,,,,,,2.0,,11.0,
2015-09-30,1.0,1.0,,,2.0,,2.0,8.0,1.0
2015-10-01,,,,,,,4.0,9.0,2.0
2015-10-02,2.0,,,4.0,3.0,2.0,3.0,18.0,1.0
2015-10-03,4.0,6.0,1.0,3.0,4.0,4.0,4.0,32.0,6.0
2015-10-04,4.0,2.0,2.0,,1.0,,3.0,18.0,
2015-10-05,1.0,,,,2.0,,,7.0,1.0
2015-10-06,2.0,1.0,1.0,,,,1.0,6.0,
2015-10-07,2.0,,,3.0,4.0,,2.0,17.0,1.0
2015-10-08,,1.0,1.0,,,4.0,,17.0,1.0
2015-10-09,2.0,1.0,,,1.0,2.0,2.0,8.0,
2015-10-10,5.0,2.0,4.0,4.0,3.0,4.0,1.0,14.0,7.0
2015-10-11,1.0,,1.0,,,2.0,,13.0,1.0
2015-10-12,1.0,2.0,,,,,,9.0,4.0
2015-10-13,,1.0,,1.0,1.0,2.0,1.0,16.0,
2015-10-14,6.0,,1.0,,5.0,2.0,,20.0,5.0
2015-10-15,,,1.0,1.0,,,1.0,7.0,1.0
2015-10-16,2.0,,,,4.0,1.0,1.0,11.0,5.0
2015-10-17,7.0,5.0,5.0,3.0,3.0,3.0,8.0,29.0,6.0
2015-10-18,2.0,,2.0,1.0,1.0,1.0,3.0,12.0,3.0
2015-10-19,,1.0,,,2.0,3.0,3.0,10.0,4.0
2015-10-20,,4.0,2.0,2.0,,2.0,,1.0,3.0
2015-10-21,3.0,7.0,2.0,1.0,2.0,3.0,11.0,15.0,2.0
2015-10-22,1.0,3.0,,1.0,2.0,2.0,2.0,3.0,1.0
2015-10-23,3.0,,1.0,1.0,2.0,3.0,4.0,5.0,3.0
2015-10-24,10.0,3.0,2.0,5.0,2.0,4.0,3.0,23.0,7.0
2015-10-25,1.0,8.0,2.0,3.0,1.0,1.0,1.0,22.0,1.0
2015-10-26,2.0,,2.0,1.0,1.0,,,9.0,
2015-10-27,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0
2015-10-28,5.0,9.0,,,2.0,1.0,3.0,48.0,1.0
2015-10-29,2.0,2.0,,1.0,1.0,2.0,,18.0,
2015-10-30,1.0,11.0,2.0,,7.0,5.0,1.0,14.0,2.0
2015-10-31,4.0,25.0,6.0,1.0,1.0,3.0,1.0,18.0,7.0
2015-11-01,,,,,,,,,
2015-11-02,3.0,3.0,4.0,1.0,,5.0,21.0,26.0,5.0
2015-11-03,,8.0,2.0,1.0,2.0,2.0,,11.0,
2015-11-04,6.0,9.0,9.0,3.0,4.0,1.0,,18.0,4.0
2015-11-05,3.0,5.0,2.0,1.0,,1.0,2.0,5.0,1.0
2015-11-06,6.0,5.0,2.0,,1.0,,1.0,13.0,
